application_name,gp_area,gp_freq,gp_latency,gp_power,original_area,original_freq,original_latency,original_power,original_area_norm,original_freq_norm,original_latency_norm,original_power_norm,min_area_variant,min_area_value,min_area_freq,min_area_latency,min_area_power,min_area_norm,min_freq_norm,min_latency_norm,min_power_norm
basicmath_small_O3,126176.0128,22,0.4544552273,3.12,126625.1936,20.72,0.4825296815,3.12,1.003559954,0.9418181818,1.061776062,1,0_uarchaware,89059.1648,26.05,111.8818923,2.86,0.7058327714,1.184090909,246.1890315,0.9166666667
bitcnts_O3,126176.0128,22,1.593148045,3.12,111679.6096,23.03,1.521895658,2.95,0.8851096743,1.046818182,0.9552757273,0.9455128205,10_uarchaware,86928.3712,27.32,1.284961493,2.83,0.6889453017,1.241818182,0.8065549822,0.9593220339
combined,126176.0128,22,0.09891695455,3.12,118561.2096,22.93,0.09490505887,2.95,0.9396493594,1.042272727,0.9594417793,0.9455128205,1_uarchaware,89679.76,25.97,0.9136359646,2.89,0.7107512594,1.180454545,9.236393991,0.9796610169
dijkstra_small_O3,126176.0128,22,1.114591364,3.12,117569.008,24.64,0.9951708604,2.94,0.9317857285,1.12,0.8928571429,0.9423076923,0_uarchaware,88873.9872,27.2,5.056576985,2.86,0.7043651581,1.236363636,4.536709282,0.9727891156
libedn,126176.0128,22,0.1557064545,3.12,109800.3072,23.15,0.1479715767,2.95,0.8702153822,1.052272727,0.9503239741,0.9455128205,0_uarchaware,89430.7712,26.66,7.480777157,2.88,0.7087779144,1.211818182,48.04410439,0.9762711864
libhuffbench,126176.0128,22,0.1028320455,3.12,89366.96,27.07,0.08357240488,2.84,0.7082721828,1.230454545,0.8127077946,0.9102564103,24_uarchaware,86843.2896,27.89,0.08111527429,2.83,0.6882709928,1.267727273,0.7888131947,0.9964788732
libnsichneu,126176.0128,22,0.0910225,3.12,89030.3872,27.68,0.07234447254,2.86,0.7056046964,1.258181818,0.7947976879,0.9166666667,21_uarchaware,86800.7488,28.17,0.07108626198,2.83,0.6879338384,1.280454545,0.780974616,0.9895104895
libslre,126176.0128,22,0.1104518182,3.12,89335.68,27.61,0.08800941688,2.87,0.7080242751,1.255,0.796812749,0.9198717949,24_uarchaware,87078.5152,27.83,0.08731369026,2.85,0.6901352584,1.265,0.790513834,0.9930313589
libstatemate,126176.0128,22,0.06605095455,3.12,89716.0448,26.71,0.0544036316,2.86,0.7110388323,1.214090909,0.82366155,0.9166666667,24_uarchaware,87531.4496,26.67,0.05448522685,2.84,0.6937249613,1.212272727,0.8248968879,0.993006993
libud,126176.0128,22,0.03715731818,3.12,122885.3568,20.64,0.0396056686,3.12,0.9739201142,0.9381818182,1.065891473,1,0_uarchaware,89208.0576,27.17,2.065740044,2.86,0.7070128119,1.235,55.59443322,0.9166666667
libwikisort,126176.0128,22,0.033386,3.12,125985.8304,21.81,0.03367684548,3.13,0.9984927214,0.9913636364,1.0087116,1.003205128,0_uarchaware,89311.9072,27.12,0.2691114676,2.89,0.7078358653,1.232727273,8.060608265,0.9233226837
matmult-int,126176.0128,22,0.1362726364,3.12,118095.7632,23.85,0.1257022222,2.94,0.9359604934,1.084090909,0.9224318658,0.9423076923,1_uarchaware,89276.8736,26.89,4.934069654,2.85,0.7075582087,1.222272727,36.20733983,0.9693877551
md5,126176.0128,22,0.08245536364,3.12,89336.9312,26.38,0.06876489765,2.86,0.7080341914,1.199090909,0.8339651251,0.9166666667,15_uarchaware,89159.2608,27.96,0.06536269671,2.88,0.7066260759,1.270909091,0.7927040016,1.006993007
mont64,126176.0128,22,0.2042778182,3.12,110885.0976,22.39,0.200719607,2.93,0.8788128198,1.017727273,0.9825815096,0.9391025641,0_uarchaware,89159.2608,27.03,1.766961487,2.88,0.7066260759,1.228636364,8.64979616,0.9829351536
patricia_O3,126176.0128,22,0.2279401818,3.12,123359.5616,20.9,0.2399370335,3.12,0.9776783944,0.95,1.052631579,1,0_uarchaware,89405.7472,26.35,1.009351195,2.86,0.7085795883,1.197727273,4.428140696,0.9166666667
picojpeg_test,126176.0128,22,0.1766361818,3.12,111242.9408,24.09,0.1613115816,2.96,0.8816488834,1.095,0.9132420091,0.9487179487,0_uarchaware,90023.84,27.54,1.708310167,2.86,0.7134782436,1.251818182,9.671349038,0.9662162162
primecount,126176.0128,22,0.1953371364,3.12,111550.736,23.65,0.1817089641,2.93,0.8840882948,1.075,0.9302325581,0.9391025641,0_uarchaware,88840.2048,27.43,1.808812577,2.88,0.7040974178,1.246818182,9.259952363,0.9829351536
qsort_large_O3,126176.0128,22,0.7765520455,3.12,117756.688,23.16,0.7376573834,2.94,0.9332731744,1.052727273,0.9499136442,0.9423076923,1_uarchaware,88873.9872,27.2,18.1337746,2.86,0.7043651581,1.236363636,23.35165389,0.9727891156
qsort_small_O3,126176.0128,22,1.352686545,3.12,89361.9552,27.76,1.072013833,2.86,0.7082325176,1.261818182,0.7925072046,0.9166666667,15_uarchaware,86786.9856,28.11,1.058666275,2.86,0.687824759,1.277727273,0.7826397615,1
rijndael_Oz,126176.0128,22,31.21829527,3.12,117843.0208,20.84,32.9559739,3.11,0.9339573995,0.9472727273,1.055662188,0.9967948718,3_uarchaware,107783.3728,22.8,30.12937675,2.93,0.8542302963,1.036363636,0.9651192191,0.9421221865
sha_O3,126176.0128,22,0.5955254091,3.12,89365.7088,27.38,0.4785083638,2.86,0.7082622665,1.244545455,0.8035062089,0.9166666667,24_uarchaware,86965.9072,28.18,0.4649240241,2.84,0.6892427908,1.280909091,0.7806955287,0.993006993
tarfind,126176.0128,22,0.04110618182,3.12,111237.936,21.93,0.0412373917,2.95,0.8816092182,0.9968181818,1.003191974,0.9455128205,1_uarchaware,89398.24,26.94,4.9721415,2.86,0.7085200904,1.224545455,120.9584856,0.9694915254