application_name,baseline_variant,minA_1.2x_variant,minE_1.2x_variant,minA_unconstrained_variant,minE_unconstrained_variant,baseline_Total Area,minA_1.2x_Total Area,minE_1.2x_Total Area,minA_unconstrained_Total Area,minE_unconstrained_Total Area,minA_1.2x_Total Area_%,minE_1.2x_Total Area_%,minA_unconstrained_Total Area_%,minE_unconstrained_Total Area_%,baseline_Total Power (mW),minA_1.2x_Total Power (mW),minE_1.2x_Total Power (mW),minA_unconstrained_Total Power (mW),minE_unconstrained_Total Power (mW),minA_1.2x_Total Power (mW)_%,minE_1.2x_Total Power (mW)_%,minA_unconstrained_Total Power (mW)_%,minE_unconstrained_Total Power (mW)_%,baseline_Max Freq (MHz),minA_1.2x_Max Freq (MHz),minE_1.2x_Max Freq (MHz),minA_unconstrained_Max Freq (MHz),minE_unconstrained_Max Freq (MHz),minA_1.2x_Max Freq (MHz)_%,minE_1.2x_Max Freq (MHz)_%,minA_unconstrained_Max Freq (MHz)_%,minE_unconstrained_Max Freq (MHz)_%,baseline_Hold WNS (ns),minA_1.2x_Hold WNS (ns),minE_1.2x_Hold WNS (ns),minA_unconstrained_Hold WNS (ns),minE_unconstrained_Hold WNS (ns),minA_1.2x_Hold WNS (ns)_%,minE_1.2x_Hold WNS (ns)_%,minA_unconstrained_Hold WNS (ns)_%,minE_unconstrained_Hold WNS (ns)_%
basicmath_small_O3,ibex_basicmath_original,10_uarchaware,10_uarchaware,0_baseline,10_uarchaware,131208,127348,127348,92461.2,127348,-2.90%,-2.90%,-29.50%,-2.90%,4.372,4.27331,4.27331,3.40109,4.27331,-2.30%,-2.30%,-22.20%,-2.30%,47.21,44.95,44.95,61.9,44.95,-4.80%,-4.80%,31.10%,-4.80%,,,,,,,,,
bitcnts_O3,ibex_bitcnts_original,12_uarchaware,12_uarchaware,12_uarchaware,12_uarchaware,115855,90436.7,90436.7,90436.7,90436.7,-21.90%,-21.90%,-21.90%,-21.90%,3.99477,3.34048,3.34048,3.34048,3.34048,-16.40%,-16.40%,-16.40%,-16.40%,45.9,68.17,68.17,68.17,68.17,48.50%,48.50%,48.50%,48.50%,,,,,,,,,
combined,ibex_combined_original,6_uarchaware,14_uarchaware,0_baseline,14_uarchaware,123018,112602,119856,93677.3,119856,-8.50%,-2.60%,-23.90%,-2.60%,4.05582,3.84311,3.96152,3.42023,3.96152,-5.20%,-2.30%,-15.70%,-2.30%,48.23,44.3,46.23,64.43,46.23,-8.10%,-4.10%,33.60%,-4.10%,,,,,,,,,
dijkstra_small_O3,ibex_dijkstra_original,6_uarchaware,16_uarchaware,0_baseline,16_uarchaware,121522,111763,118904,92802.8,118904,-8.00%,-2.20%,-23.60%,-2.20%,3.96369,3.81721,3.9149,3.42498,3.9149,-3.70%,-1.20%,-13.60%,-1.20%,46.23,53.24,47.83,63.36,47.83,15.20%,3.50%,37.10%,3.50%,,,,,,,,,
libedn,ibex_libedn_original,19_uarchaware,19_uarchaware,0_baseline,19_uarchaware,113919,112600,112600,93462.1,112600,-1.20%,-1.20%,-18.00%,-1.20%,3.9097,3.83897,3.83897,3.49501,3.83897,-1.80%,-1.80%,-10.60%,-1.80%,44.63,47.26,47.26,56.47,47.26,5.90%,5.90%,26.50%,5.90%,,,,,,,,,
libhuffbench,ibex_libhuffbench_original,21_uarchaware,21_uarchaware,21_uarchaware,21_uarchaware,90491.8,90385.4,90385.4,90385.4,90385.4,-0.10%,-0.10%,-0.10%,-0.10%,3.31555,3.30909,3.30909,3.30909,3.30909,-0.20%,-0.20%,-0.20%,-0.20%,58.64,62.24,62.24,62.24,62.24,6.10%,6.10%,6.10%,6.10%,,,,,,,,,
libnsichneu,ibex_libnsichneu_original,26_uarchaware,26_uarchaware,26_uarchaware,26_uarchaware,92910.4,89802.4,89802.4,89802.4,89802.4,-3.30%,-3.30%,-3.30%,-3.30%,3.44791,3.27816,3.27816,3.27816,3.27816,-4.90%,-4.90%,-4.90%,-4.90%,69.12,65.39,65.39,65.39,65.39,-5.40%,-5.40%,-5.40%,-5.40%,,,,,,,,,
libslre,ibex_libslre_original,26_uarchaware,26_uarchaware,26_uarchaware,26_uarchaware,93079.3,90730.8,90730.8,90730.8,90730.8,-2.50%,-2.50%,-2.50%,-2.50%,3.41862,3.3109,3.3109,3.3109,3.3109,-3.20%,-3.20%,-3.20%,-3.20%,66.19,65.56,65.56,65.56,65.56,-1.00%,-1.00%,-1.00%,-1.00%,,,,,,,,,
libstatemate,ibex_libstatemate_original,1_baseline,22_baseline,1_baseline,22_baseline,93515.9,90669.5,91093.6,90669.5,91093.6,-3.00%,-2.60%,-3.00%,-2.60%,3.42576,3.34116,3.33829,3.34116,3.33829,-2.50%,-2.60%,-2.50%,-2.60%,59.56,64.21,65.5,64.21,65.5,7.80%,10.00%,7.80%,10.00%,,,,,,,,,
libud,ibex_libud_original,5_baseline,19_baseline,0_baseline,19_baseline,127043,126944,127566,92418.6,127566,-0.10%,0.40%,-27.30%,0.40%,4.36826,4.42779,4.46485,3.39447,4.46485,1.40%,2.20%,-22.30%,2.20%,43.1,42.4,44.11,68.73,44.11,-1.60%,2.30%,59.50%,2.30%,,,,,,,,,
libwikisort,ibex_wikisort_original,11_uarchaware,15_uarchaware,1_baseline,15_uarchaware,130451,112130,113905,93548.5,113905,-14.00%,-12.70%,-28.30%,-12.70%,4.5161,3.81715,3.95257,3.45715,3.95257,-15.50%,-12.50%,-23.40%,-12.50%,44.1,54.44,46.36,64.65,46.36,23.40%,5.10%,46.60%,5.10%,,,,,,,,,
matmult-int,ibex_matmult_original,15_uarchaware,15_uarchaware,0_baseline,15_uarchaware,122427,112002,112002,93076.8,112002,-8.50%,-8.50%,-24.00%,-8.50%,3.97214,3.85191,3.85191,3.44212,3.85191,-3.00%,-3.00%,-13.30%,-3.00%,53.87,44.55,44.55,70.36,44.55,-17.30%,-17.30%,30.60%,-17.30%,,,,,,,,,
md5,ibex_md5_original,7_uarchaware,14_uarchaware,7_uarchaware,14_uarchaware,93455.9,92985.4,93215.7,92985.4,93215.7,-0.50%,-0.30%,-0.50%,-0.30%,3.47658,3.41786,3.43853,3.41786,3.43853,-1.70%,-1.10%,-1.70%,-1.10%,65.11,62.32,60.96,62.32,60.96,-4.30%,-6.40%,-4.30%,-6.40%,,,,,,,,,
mont64,ibex_mont64_original,11_uarchaware,11_uarchaware,0_baseline,11_uarchaware,111942,111962,111962,92741.4,111962,0.00%,0.00%,-17.20%,0.00%,3.88373,3.84218,3.84218,3.38957,3.84218,-1.10%,-1.10%,-12.70%,-1.10%,46.21,49.03,49.03,71.63,49.03,6.10%,6.10%,55.00%,6.10%,,,,,,,,,
patricia_O3,ibex_patricia_original,2_baseline,3_baseline,2_baseline,3_baseline,127323,92890.3,93674.8,92890.3,93674.8,-27.00%,-26.40%,-27.00%,-26.40%,4.37194,3.44606,3.43997,3.44606,3.43997,-21.20%,-21.30%,-21.20%,-21.30%,44.48,62.38,67.54,62.38,67.54,40.20%,51.80%,40.20%,51.80%,,,,,,,,,
picojpeg_test,ibex_picojpeg_original,4_uarchaware,22_uarchaware,0_baseline,22_uarchaware,115231,114599,114999,93616,114999,-0.50%,-0.20%,-18.80%,-0.20%,3.92277,3.96235,3.97207,3.4359,3.97207,1.00%,1.30%,-12.40%,1.30%,46.33,47.71,40.06,67.66,40.06,3.00%,-13.50%,46.00%,-13.50%,,,,,,,,,
primecount,ibex_primecount_original,20_uarchaware,20_uarchaware,0_baseline,20_uarchaware,115999,111887,111887,92533.7,111887,-3.50%,-3.50%,-20.20%,-3.50%,3.99834,3.82219,3.82219,3.39877,3.82219,-4.40%,-4.40%,-15.00%,-4.40%,45.26,47.09,47.09,68.17,47.09,4.00%,4.00%,50.60%,4.00%,,,,,,,,,
qsort_large_O3,ibex_qsort_large_original,17_uarchaware,17_uarchaware,0_baseline,17_uarchaware,122145,119437,119437,93204.4,119437,-2.20%,-2.20%,-23.70%,-2.20%,3.96721,3.93968,3.93968,3.40526,3.93968,-0.70%,-0.70%,-14.20%,-0.70%,41.04,44.65,44.65,70.26,44.65,8.80%,8.80%,71.20%,8.80%,,,,,,,,,
qsort_small_O3,ibex_qsort_small_original,12_uarchaware,12_uarchaware,12_uarchaware,12_uarchaware,93160.6,90794.6,90794.6,90794.6,90794.6,-2.50%,-2.50%,-2.50%,-2.50%,3.46152,3.3266,3.3266,3.3266,3.3266,-3.90%,-3.90%,-3.90%,-3.90%,63.81,64.98,64.98,64.98,64.98,1.80%,1.80%,1.80%,1.80%,,,,,,,,,
rijndael_Oz,ibex_rijndael_original,4_uarchaware,4_uarchaware,0_baseline,4_uarchaware,121530,111596,111596,92920.4,111596,-8.20%,-8.20%,-23.50%,-8.20%,4.21927,3.78061,3.78061,3.43609,3.78061,-10.40%,-10.40%,-18.60%,-10.40%,48.99,47.44,47.44,65.18,47.44,-3.20%,-3.20%,33.00%,-3.20%,,,,,,,,,
sha_O3,ibex_sha_original,1_uarchaware,21_uarchaware,1_uarchaware,21_uarchaware,93201.9,91267.5,91198.7,91267.5,91198.7,-2.10%,-2.10%,-2.10%,-2.10%,3.42343,3.33866,3.35326,3.33866,3.35326,-2.50%,-2.00%,-2.50%,-2.00%,69.85,70.11,65.79,70.11,65.79,0.40%,-5.80%,0.40%,-5.80%,,,,,,,,,
tarfind,ibex_tarfind_original,26_uarchaware,26_uarchaware,0_baseline,26_uarchaware,115535,112123,112123,93136.8,112123,-3.00%,-3.00%,-19.40%,-3.00%,3.98226,3.87908,3.87908,3.42401,3.87908,-2.60%,-2.60%,-14.00%,-2.60%,48.41,47.32,47.32,62,47.32,-2.30%,-2.30%,28.10%,-2.30%,,,,,,,,,
GEOMEAN,,,,,,111129.4583,104561.2404,105339.9776,92244.8691,105339.9776,-5.90%,-5.20%,-17.00%,-5.20%,3.8683,3.6771,3.6954,3.392,3.6954,-4.90%,-4.50%,-12.30%,-4.50%,51.3557,53.7631,52.9225,65.3632,52.9225,4.70%,3.10%,27.30%,3.10%,,,,,,,,,